,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
533,Michael Lembeck,80.0,104.0,54.0,775.0,Aisha Tyler,901.0,139225854.0,Judge Reinhold,34561,5265,Eric Lloyd,116.0,English,USA,G,60000000.0,857.0,5.5,1.85,1000,10/27/2002,Buena Vista Pictures,The Santa Clause 2,53.653846153846146
534,Nora Ephron,153.0,119.0,0.0,744.0,Jean Stapleton,15000.0,115731542.0,Tom Hanks,151812,17768,Dave Chappelle,556.0,English,USA,PG,65000000.0,793.0,6.5,1.85,0,12/18/1998,Warner Bros. Pictures,You've Got Mail,62.21052631578947
535,Adam McKay,173.0,106.0,285.0,105.0,Adam Scott,8000.0,100468793.0,Will Ferrell,212499,11264,Andrea Savage,277.0,English,USA,R,65000000.0,3000.0,6.9,2.35,0,07/25/2008,Columbia Pictures,Step Brothers,54.51515151515152
536,Martin Campbell,156.0,136.0,258.0,94.0,Tony Amendola,12000.0,93771072.0,Anthony Hopkins,135404,12396,Stuart Wilson,318.0,English,USA,PG-13,65000000.0,174.0,6.7,2.35,0,07/17/1998,Sony Pictures Entertainment,The Mask of Zorro,64.63636363636364
537,Todd Phillips,307.0,95.0,480.0,490.0,RZA,21000.0,100448498.0,Robert Downey Jr.,272789,23018,Matt Walsh,285.0,English,USA,R,65000000.0,561.0,6.6,2.35,25000,11/05/2010,Warner Bros. Pictures,Due Date,54.87179487179486
538,Angelina Jolie Pitt,322.0,137.0,11000.0,465.0,Jack O'Connell,769.0,115603980.0,Finn Wittrock,103589,2938,Alex Russell,351.0,English,USA,PG-13,65000000.0,698.0,7.2,2.35,35000,12/25/2014,Universal Pictures,Unbroken,62.79166666666666
539,Clint Eastwood,169.0,130.0,16000.0,416.0,Courtney B. Vance,16000.0,90454043.0,Clint Eastwood,60165,17771,William Devane,326.0,English,USA,PG-13,65000000.0,495.0,6.4,2.35,0,08/04/2000,Warner Bros. Pictures,Space Cowboys,73.94285714285714
540,Renny Harlin,74.0,124.0,212.0,369.0,Leon,13000.0,84049211.0,Sylvester Stallone,96096,15229,Janine Turner,172.0,English,USA,R,70000000.0,730.0,6.4,2.35,0,05/28/1993,Sony Pictures Home Entertainment,Cliffhanger,63.125
541,John Woo,72.0,108.0,610.0,461.0,Samantha Mathis,848.0,70450000.0,Delroy Lindo,77390,2913,Bob Gunton,189.0,English,USA,R,50000000.0,517.0,6.0,2.35,0,07/21/1950,Twentieth Century Fox Home Entertainment,Broken Arrow,60.42857142857143
542,Jon Turteltaub,86.0,104.0,226.0,577.0,Lily Tomlin,13000.0,69688384.0,Bruce Willis,34473,16452,Daniel von Bargen,139.0,English,USA,PG,60000000.0,718.0,6.1,1.85,0,01/21/1921,First National Pictures Inc.,The Kid,51.276595744680854
543,Oliver Stone,242.0,129.0,0.0,625.0,Jay Hernandez,12000.0,70236496.0,Nicolas Cage,67395,14421,Armando Riesco,564.0,English,USA,PG-13,63000000.0,1000.0,6.0,1.85,0,08/09/2006,Paramount Pictures,World Trade Center,69.975
544,Mike Newell,141.0,117.0,179.0,403.0,Kirsten Dunst,8000.0,63695760.0,Julia Roberts,61490,12850,Marian Seldes,264.0,English,USA,PG-13,65000000.0,4000.0,6.4,1.85,0,12/19/2003,Sony Pictures Releasing,Mona Lisa Smile,50.8
545,Larry Charles,313.0,99.0,119.0,174.0,Aasif Mandvi,600.0,59617068.0,Sayed Badreya,213863,1375,Horatio Sanz,310.0,English,USA,R,65000000.0,346.0,6.4,2.35,59000,05/16/2012,Paramount Pictures,The Dictator,60.878048780487795
546,Stanley Kubrick,280.0,159.0,0.0,521.0,Vinessa Shaw,10000.0,55637680.0,Tom Cruise,227071,11424,Sydney Pollack,1500.0,English,UK,R,65000000.0,580.0,7.3,1.66,10000,07/16/1999,Warner Bros. Pictures,Eyes Wide Shut,71.51515151515152
547,Will Gluck,176.0,118.0,87.0,929.0,Dorian Missick,2000.0,85911262.0,Quvenzhané Wallis,24735,4796,David Zayas,213.0,English,USA,PG,65000000.0,1000.0,5.2,2.39,16000,12/19/2014,Sony Pictures,Annie,41.75
548,Glenn Ficarra,279.0,105.0,43.0,523.0,Adrian Martinez,10000.0,53846915.0,Will Smith,149337,11943,Gerald McRaney,221.0,English,USA,R,50100000.0,806.0,6.6,1.85,23000,02/27/2015,Warner Bros. Pictures,Focus,58.79710144927536
549,McG,241.0,103.0,368.0,520.0,Abigail Spencer,27000.0,54758461.0,Tom Hardy,147641,29808,Warren Christie,238.0,English,USA,PG-13,65000000.0,1000.0,6.3,2.35,18000,02/14/2012,Twentieth Century Fox,This Means War,38.138888888888886
550,David S. Goyer,185.0,122.0,687.0,957.0,Natasha Lyonne,16000.0,52397389.0,Ryan Reynolds,132954,19764,John Michael Higgins,514.0,English,USA,R,65000000.0,1000.0,5.9,2.35,0,12/08/2004,New Line Cinema,Blade: Trinity,43.43333333333333
551,Paul W.S. Anderson,230.0,111.0,545.0,805.0,Max Ryan,26000.0,36064910.0,Jason Statham,166610,28643,Joan Allen,211.0,English,USA,R,45000000.0,872.0,6.4,2.35,0,08/21/2008,Universal Pictures,Death Race,47.54166666666666
552,Renny Harlin,94.0,121.0,212.0,263.0,Craig Bierko,394.0,33328051.0,Melina Kanakaredes,60508,1531,Yvonne Zima,285.0,English,USA,R,65000000.0,380.0,6.7,2.35,4000,10/11/1996,New Line Home Entertainment,The Long Kiss Goodnight,49.55
553,Taylor Hackford,134.0,135.0,138.0,184.0,Alun Armstrong,324.0,32598931.0,Pamela Reed,49300,1013,Michael Kitchen,265.0,English,USA,R,65000000.0,192.0,6.2,2.35,892,12/08/2000,Warner Bros. Pictures,Proof of Life,50.6551724137931
554,David Fincher,315.0,151.0,21000.0,637.0,Meat Loaf,11000.0,37023395.0,Brad Pitt,1347461,13209,Eugenie Bondurant,2968.0,English,USA,R,63000000.0,783.0,8.8,2.35,48000,10/15/1999,20th Century Fox,Fight Club,70.65714285714286
555,McG,96.0,131.0,368.0,383.0,Kimberly Williams-Paisley,11000.0,43532294.0,Matthew McConaughey,46951,12088,Brian Geraghty,175.0,English,USA,PG,65000000.0,529.0,7.1,2.35,0,12/22/2006,Warner Bros. Pictures,We Are Marshall,58.32258064516129
556,Michael Lehmann,60.0,100.0,36.0,554.0,James Coburn,13000.0,17218080.0,Bruce Willis,43376,15944,Richard E. Grant,249.0,English,USA,R,70000000.0,773.0,5.7,1.85,0,05/24/1991,TriStar Pictures,Hudson Hawk,26.53333333333333
557,Nora Ephron,60.0,105.0,0.0,506.0,Michael Moore,975.0,10014234.0,Michael Rapaport,8560,3580,Richard Schiff,69.0,English,France,R,65000000.0,909.0,5.0,1.85,177,10/27/2000,Paramount Pictures,Lucky Numbers,39.7
558,Stuart Beattie,308.0,92.0,72.0,568.0,Kevin Grevioux,623.0,19059018.0,Caitlin Stasey,65709,3165,Miranda Otto,194.0,English,Australia,PG-13,65000000.0,593.0,5.1,2.35,15000,01/24/2014,Lionsgate Films,"I, Frankenstein",34.3
559,Roman Polanski,127.0,130.0,2000.0,25.0,Barney Clark,268.0,1987287.0,Ian McNeice,25474,450,Tony Noble,138.0,English,UK,PG-13,50000000.0,85.0,6.9,2.35,0,07/30/1951,United Artists,Oliver Twist,66.6388888888889
560,Rob Bowman,196.0,100.0,38.0,1000.0,Cary-Hiroyuki Tagawa,3000.0,24407944.0,Jennifer Garner,71202,7048,Goran Visnjic,380.0,English,Canada,PG-13,43000000.0,1000.0,4.8,2.35,0,01/14/2005,20th Century Fox,Elektra,39.02857142857143
561,Sydney Pollack,96.0,133.0,521.0,970.0,Kristin Scott Thomas,11000.0,31054924.0,Harrison Ford,17025,16710,Bill Cobbs,290.0,English,USA,R,64000000.0,1000.0,5.1,1.85,295,10/08/1999,Columbia Pictures,Random Hearts,42.82857142857143
562,Baltasar Kormákur,361.0,121.0,175.0,221.0,Martin Henderson,963.0,43247140.0,Michael Kelly,134625,2131,Tom Goodman-Hill,265.0,English,UK,PG-13,55000000.0,580.0,7.1,2.35,40000,09/18/2015,Universal Pictures,Everest,66.56410256410257
563,Tom Tykwer,226.0,147.0,670.0,16.0,David Calder,177.0,2208939.0,Michael Smiley,190490,253,Simon Chandler,482.0,English,Germany,R,50000000.0,27.0,7.5,2.35,26000,12/27/2006,Dreamworks,Perfume: The Story of a Murderer,62.2
564,Steven Spielberg,308.0,127.0,14000.0,191.0,Ariana Richards,967.0,356784000.0,Wayne Knight,613473,2129,Bob Peck,895.0,English,USA,PG-13,63000000.0,610.0,8.1,1.85,19000,06/11/1993,Universal City Studios,Jurassic Park,71.95
565,Lawrence Kasdan,40.0,212.0,759.0,812.0,Catherine O'Hara,2000.0,25052000.0,Dennis Quaid,35314,5708,Isabella Rossellini,145.0,English,USA,PG-13,63000000.0,925.0,6.6,2.35,0,06/24/1994,Warner Home Video,Wyatt Earp,51.5
566,Phillip Noyce,42.0,141.0,176.0,672.0,Dean Jones,11000.0,122012710.0,Harrison Ford,69663,14178,Raymond Cruz,133.0,English,USA,PG-13,62000000.0,913.0,6.9,2.35,0,08/03/1994,Paramount Home Video,Clear and Present Danger,71.71428571428571
567,Jonathan Mostow,178.0,116.0,84.0,563.0,Thomas Kretschmann,11000.0,77086030.0,Matthew McConaughey,65297,14931,David Keith,602.0,English,France,PG-13,62000000.0,919.0,6.6,2.35,0,04/21/2000,Universal Studios Home Video,U-571,65.08571428571429
568,Rob Reiner,75.0,114.0,0.0,452.0,Samantha Mathis,524.0,65000000.0,Shawna Waldron,43027,2668,Wendie Malick,214.0,English,USA,PG-13,62000000.0,517.0,6.8,2.35,0,11/17/1995,Columbia Pictures,The American President,71.0
569,Demian Lichtenstein,113.0,125.0,11.0,867.0,Bokeem Woodbine,11000.0,15738632.0,Jon Lovitz,38076,14536,Ice-T,399.0,English,USA,R,42000000.0,904.0,5.9,2.35,0,02/23/2001,Warner Bros.,3000 Miles to Graceland,29.03333333333333
570,Josh Gordon,191.0,93.0,8.0,970.0,Amy Poehler,8000.0,118153533.0,Will Ferrell,129995,13232,Jon Heder,246.0,English,USA,PG-13,61000000.0,1000.0,6.3,1.85,0,03/30/2007,Paramount Pictures,Blades of Glory,65.54285714285714
571,Tim Hill,156.0,95.0,25.0,439.0,Elizabeth Perkins,989.0,108012170.0,Gary Cole,24089,2558,Chelsea Handler,82.0,English,USA,PG,63000000.0,664.0,5.5,1.85,0,04/01/2011,Universal Pictures,Hop,47.95652173913044
572,Zack Snyder,460.0,117.0,0.0,447.0,Michael Fassbender,18000.0,210592590.0,Gerard Butler,607235,32360,Vincent Regan,2073.0,English,USA,R,65000000.0,13000.0,7.7,2.35,13000,03/09/2007,Warner Bros. Pictures,300,57.452380952380956
573,David Frankel,180.0,115.0,64.0,664.0,Kathleen Turner,2000.0,143151473.0,Eric Dane,116681,4811,Haley Bennett,320.0,English,USA,PG,60000000.0,899.0,7.1,2.35,11000,12/25/2008,20th Century Fox,Marley & Me,57.33333333333334
574,Frank Darabont,186.0,189.0,0.0,693.0,Jeffrey DeMunn,15000.0,136801374.0,Tom Hanks,782610,17716,Michael Jeter,1377.0,English,USA,R,60000000.0,745.0,8.5,1.85,30000,12/10/1999,Warner Bros. Pictures,The Green Mile,64.44444444444444
575,Mark Dindal,161.0,81.0,10.0,397.0,Fred Willard,925.0,135381507.0,Catherine O'Hara,63912,2252,Amy Sedaris,251.0,English,USA,G,150000000.0,729.0,5.8,1.85,912,11/04/2005,Buena Vista Pictures,Chicken Little,54.75
576,David Fincher,568.0,149.0,21000.0,625.0,Sela Ward,835.0,167735396.0,Patrick Fugit,569841,4348,Emily Ratajkowski,1127.0,English,USA,R,61000000.0,812.0,8.1,2.35,146000,10/03/2014,20th Century Fox,Gone Girl,79.36734693877553
577,Doug Liman,249.0,119.0,218.0,73.0,Josh Hamilton,13000.0,121468960.0,Matt Damon,407601,13249,Nicky Naudé,849.0,English,USA,PG-13,60000000.0,147.0,7.9,2.35,0,06/14/2002,Universal Pictures,The Bourne Identity,69.78947368421052
578,Martin Campbell,137.0,130.0,258.0,345.0,Joe Don Baker,394.0,106635996.0,Izabella Scorupco,199025,1784,Tchéky Karyo,416.0,English,UK,PG-13,58000000.0,387.0,7.2,2.35,0,11/17/1995,MGM/UA,GoldenEye,67.55555555555556
579,Simon West,113.0,116.0,165.0,475.0,Timothy Hutton,577.0,102678089.0,Daniel von Bargen,42705,2321,Clarence Williams III,274.0,English,USA,R,95000000.0,501.0,6.3,2.35,885,06/18/1999,Paramount Pictures,The General's Daughter,50.25
580,Peter Weir,213.0,103.0,608.0,576.0,Noah Emmerich,2000.0,125603360.0,Natascha McElhone,667983,3698,Peter Krause,877.0,English,USA,PG,60000000.0,617.0,8.1,1.85,18000,06/05/1998,Paramount Pictures,The Truman Show,89.53333333333332
581,Brenda Chapman,120.0,99.0,59.0,145.0,Aria Noelle Curzon,770.0,101217900.0,Martin Short,91093,1195,Eden Riegel,353.0,English,USA,PG,70000000.0,263.0,7.0,1.85,0,12/18/1998,Dreamworks,The Prince of Egypt,69.5
582,Steve Carr,81.0,92.0,41.0,522.0,Lisa Edelstein,1000.0,104148781.0,Anjelica Huston,49486,4050,Jeff Garlin,116.0,English,USA,PG,60000000.0,955.0,5.5,1.85,886,05/09/2003,Sony Pictures,Daddy Day Care,43.935483870967744
583,Baltasar Kormákur,265.0,109.0,175.0,459.0,Patrick Fischler,18000.0,75573300.0,Denzel Washington,156898,20148,Fred Ward,172.0,English,USA,R,61000000.0,497.0,6.7,2.35,22000,08/02/2013,Universal Pictures,2 Guns,58.62790697674418
584,Lawrence Guterman,105.0,87.0,6.0,405.0,Elizabeth Perkins,3000.0,93375151.0,Carol Ann Susi,46031,4171,Miriam Margolyes,235.0,English,USA,PG,60000000.0,664.0,5.2,1.85,0,07/04/2001,Warner Bros. Pictures,Cats & Dogs,51.384615384615394
585,F. Gary Gray,155.0,111.0,473.0,82.0,Charlize Theron,26000.0,106126012.0,Jason Statham,285623,35084,Jimmy Shubert,497.0,English,USA,PG-13,60000000.0,9000.0,7.0,2.35,0,01/01/1969,Paramount Pictures,The Italian Job,70.17021276595744
586,Marc Lawrence,118.0,101.0,30.0,268.0,Alicia Witt,1000.0,93307796.0,Dorian Missick,85673,2636,Dana Ivey,269.0,English,USA,PG-13,60000000.0,976.0,6.1,1.85,0,12/20/2002,Warner Bros.,Two Weeks Notice,49.0
587,Eric Darnell,131.0,83.0,35.0,754.0,Woody Allen,13000.0,90646554.0,Sylvester Stallone,124641,25788,Anne Bancroft,289.0,English,USA,PG,105000000.0,11000.0,6.6,1.85,0,10/02/1998,Dreamworks,Antz,74.96153846153847
588,Tony Scott,60.0,107.0,12000.0,695.0,Robert Duvall,10000.0,82670733.0,Tom Cruise,60476,14006,Randy Quaid,97.0,English,USA,PG-13,60000000.0,3000.0,5.9,2.35,0,06/27/1990,Paramount Home Video,Days of Thunder,61.25
589,Adam Shankman,77.0,94.0,163.0,2000.0,Tom Welling,12000.0,82569532.0,Taylor Lautner,42737,20348,Alyson Stoner,128.0,English,USA,PG,60000000.0,3000.0,5.4,2.35,781,12/21/2005,20th Century Fox,Cheaper by the Dozen 2,40.375
590,Ryan Murphy,213.0,140.0,708.0,745.0,Julia Roberts,11000.0,80574010.0,James Franco,63493,20440,Billy Crudup,302.0,English,USA,PG-13,60000000.0,8000.0,5.7,1.85,26000,08/13/2010,Sony Pictures,Eat Pray Love,55.10256410256411
591,Brett Ratner,121.0,125.0,420.0,627.0,Don Cheadle,12000.0,75764085.0,Nicolas Cage,85844,16646,Amber Valletta,322.0,English,USA,PG-13,60000000.0,3000.0,6.7,2.35,0,12/22/2000,Universal Pictures,The Family Man,48.57142857142857
592,Oliver Stone,171.0,156.0,0.0,1000.0,Dennis Quaid,14000.0,75530832.0,Al Pacino,97047,20761,LL Cool J,452.0,English,USA,R,55000000.0,2000.0,6.8,2.35,0,12/22/1999,Warner Bros. Pictures,Any Given Sunday,56.51515151515152
593,Robert Redford,96.0,170.0,0.0,380.0,Kristin Scott Thomas,19000.0,75370763.0,Scarlett Johansson,32353,20683,Jessalyn Gilsig,263.0,English,USA,PG-13,60000000.0,1000.0,6.5,1.85,0,05/15/1998,Buena Vista Pictures,The Horse Whisperer,65.57894736842105
594,Michael Mann,299.0,120.0,0.0,680.0,Jada Pinkett Smith,10000.0,100003492.0,Tom Cruise,293662,13581,Debi Mazar,836.0,English,USA,R,65000000.0,851.0,7.6,2.35,0,08/06/2004,Paramount Pictures,Collateral,73.07317073170732
595,Chuck Russell,167.0,100.0,55.0,416.0,Roger Rees,12000.0,90341670.0,Dwayne Johnson,102129,14611,Bernard Hill,432.0,English,USA,PG-13,60000000.0,1000.0,5.5,2.35,0,04/19/2002,Universal Pictures,The Scorpion King,49.43333333333333
596,Jay Russell,125.0,115.0,13.0,579.0,Jay Hernandez,2000.0,74540762.0,Billy Burke,48753,4496,Jacinda Barrett,323.0,English,USA,PG-13,55000000.0,1000.0,6.5,1.85,0,10/01/2004,Buena Vista,Ladder 49,51.84375
597,Christopher McQuarrie,387.0,130.0,188.0,1000.0,Robert Duvall,10000.0,80033643.0,Tom Cruise,226570,16385,David Oyelowo,448.0,English,USA,PG-13,60000000.0,3000.0,7.0,2.35,38000,12/21/2012,Paramount Pictures,Jack Reacher,55.111111111111114
598,Renny Harlin,199.0,105.0,212.0,811.0,Michael Rapaport,1000.0,73648142.0,LL Cool J,99043,3697,Saffron Burrows,643.0,English,USA,R,60000000.0,975.0,5.8,2.35,0,07/28/1999,Warner Bros. Pictures,Deep Blue Sea,57.59090909090909
599,Steven Soderbergh,436.0,106.0,0.0,175.0,Monique Gabriela Curnen,13000.0,75638743.0,Matt Damon,180479,13634,Griffin Kane,411.0,English,USA,PG-13,60000000.0,240.0,6.6,1.85,42000,09/09/2011,Warner Bros.,Contagion,71.34210526315789
600,David McNally,73.0,89.0,18.0,226.0,Dyan Cannon,658.0,66734992.0,Estella Warren,23476,1233,Bill Hunter,181.0,English,USA,PG,60000000.0,257.0,4.4,2.35,858,01/17/2003,Warner Bros. Pictures,Kangaroo Jack,25.08
601,Henry Selick,310.0,100.0,253.0,57.0,Dawn French,309.0,75280058.0,Jennifer Saunders,143121,647,John Hodgman,279.0,English,USA,PG,60000000.0,229.0,7.7,1.85,10000,02/06/2009,Focus Features,Coraline,81.47368421052632
602,M. Night Shyamalan,323.0,91.0,0.0,751.0,Alan Ruck,11000.0,64505912.0,Zooey Deschanel,163130,13654,Kristen Connolly,1264.0,English,USA,R,48000000.0,946.0,5.0,1.85,6000,06/11/2008,20th Century Fox,The Happening,41.73684210526316
603,Tony Scott,171.0,146.0,12000.0,451.0,Radha Mitchell,18000.0,77862546.0,Denzel Washington,266310,20454,Giancarlo Giannini,690.0,English,USA,R,70000000.0,992.0,7.7,2.35,14000,04/21/2004,20th Century Fox,Man on Fire,52.194444444444436
604,Brian Robbins,76.0,98.0,48.0,722.0,Joel David Moore,21000.0,61112916.0,Robert Downey Jr.,14888,24664,Kristin Davis,83.0,English,USA,PG,50000000.0,936.0,4.4,2.35,747,03/10/2006,Buena Vista,The Shaggy Dog,49.56
605,Todd Phillips,173.0,101.0,480.0,767.0,Carmen Electra,881.0,88200225.0,Snoop Dogg,120795,3943,Fred Williamson,308.0,English,USA,PG-13,60000000.0,869.0,6.1,2.35,0,03/05/2004,Warner Bros. Pictures,Starsky & Hutch,58.625
606,Brian Levant,81.0,94.0,32.0,626.0,Harvey Korman,854.0,60573641.0,Jim Belushi,68406,4530,Jake Lloyd,162.0,English,USA,PG,60000000.0,628.0,5.4,1.85,0,06/01/1997,20th Century Fox,Jingle All the Way,38.34782608695652
607,Guillermo del Toro,242.0,132.0,0.0,160.0,Rupert Evans,366.0,59035104.0,James Babson,244566,1112,Brian Steele,597.0,English,USA,PG-13,66000000.0,334.0,6.8,1.85,0,04/02/2004,Sony Pictures,Hellboy,53.23456790123457
608,Steven Zaillian,110.0,115.0,234.0,521.0,Kathleen Quinlan,3000.0,56702901.0,Robert Duvall,23302,4713,Sydney Pollack,181.0,English,USA,PG-13,60000000.0,552.0,6.5,2.35,1000,12/25/1998,Touchstone,A Civil Action,70.69230769230771
609,Chris Butler,328.0,92.0,28.0,586.0,Kodi Smit-McPhee,10000.0,55994557.0,Anna Kendrick,72287,13597,Elaine Stritch,176.0,English,USA,PG,60000000.0,884.0,7.0,2.35,12000,08/17/2012,Focus Features,ParaNorman,72.72727272727273
610,Michael Caton-Jones,83.0,124.0,105.0,460.0,Bruce Willis,24000.0,54910560.0,J.K. Simmons,88225,38227,Sophie Okonedo,227.0,English,USA,R,60000000.0,13000.0,6.3,2.35,0,11/14/1997,Universal Pictures,The Jackal,41.65
611,John Woo,196.0,119.0,610.0,716.0,Joe Morton,834.0,53789313.0,Ivana Milicevic,89816,3637,Callum Rennie,347.0,English,USA,PG-13,60000000.0,780.0,6.3,2.35,0,12/25/2003,Paramount Pictures,Paycheck,49.147058823529406
612,Sam Fell,118.0,93.0,18.0,903.0,Matthew Broderick,9000.0,50818750.0,Emma Watson,31209,13403,Frank Langella,106.0,English,UK,G,60000000.0,2000.0,6.1,2.35,0,12/19/2008,Universal Pictures,The Tale of Despereaux,58.0
613,Kevin Donovan,81.0,98.0,11.0,107.0,Debi Mazar,966.0,50189179.0,Romany Malco,61966,2018,Ritchie Coster,207.0,English,USA,PG-13,60000000.0,680.0,5.3,1.85,797,09/27/2002,Dreamworks Distribution LLC,The Tuxedo,37.814814814814824
614,Geoff Murphy,47.0,92.0,14.0,488.0,Brenda Bakke,789.0,50024083.0,Peter Greene,35918,2318,Patrick Kilpatrick,126.0,English,USA,R,60000000.0,520.0,5.4,1.85,1000,07/14/1995,Warner Home Video,Under Siege 2: Dark Territory,52.38095238095239
615,Kenneth Branagh,313.0,105.0,0.0,288.0,Nonso Anozie,539.0,50549107.0,Colm Feore,99035,1411,Gemma Chan,289.0,English,USA,PG-13,60000000.0,394.0,6.2,2.35,17000,01/17/2014,Paramount Pictures,Jack Ryan: Shadow Recruit,60.444444444444436
616,David O. Russell,315.0,124.0,737.0,14000.0,Robert De Niro,34000.0,56443482.0,Jennifer Lawrence,75329,75793,Bradley Cooper,256.0,English,USA,PG-13,60000000.0,22000.0,6.6,1.85,24000,12/25/2015,20th Century Fox,Joy,59.77083333333334
617,Babak Najafi,225.0,99.0,24.0,864.0,Radha Mitchell,18000.0,62401264.0,Gerard Butler,69484,20276,Julian Kostov,323.0,English,UK,R,60000000.0,992.0,5.9,2.35,28000,03/04/2016,Focus Features,London Has Fallen,35.114285714285714
618,Antoine Fuqua,198.0,124.0,845.0,295.0,Ned Beatty,650.0,46975183.0,Tate Donovan,256213,1640,Louis Ferreira,338.0,English,USA,R,61000000.0,467.0,7.2,2.35,0,03/23/2007,Paramount Pictures,Shooter,57.84848484848485
619,Graham Annable,219.0,96.0,7.0,642.0,Dee Bradley Baker,874.0,50807639.0,Isaac Hempstead Wright,40883,3151,Tracy Morgan,122.0,English,USA,PG,60000000.0,668.0,6.8,1.85,11000,09/26/2014,Focus Features,The Boxtrolls,64.81081081081079
620,Griffin Dunne,92.0,104.0,165.0,944.0,Dianne Wiest,1000.0,46611204.0,Goran Visnjic,55749,4294,Stockard Channing,257.0,English,USA,PG-13,48000000.0,967.0,6.1,2.35,0,10/16/1998,Warner Bros. Pictures,Practical Magic,50.04545454545455
621,Rob Bowman,138.0,101.0,38.0,11000.0,Gerard Butler,23000.0,43060566.0,Christian Bale,107859,53024,Matthew McConaughey,569.0,English,USA,PG-13,60000000.0,18000.0,6.2,2.35,0,07/12/2002,Buena Vista Distribution Compa,Reign of Fire,45.36666666666667
622,Ruben Fleischer,415.0,113.0,181.0,300.0,Brandon Molale,33000.0,45996718.0,Ryan Gosling,173530,34738,Wade Williams,264.0,English,USA,R,60000000.0,301.0,6.7,2.35,40000,01/11/2013,Warner Bros.,Gangster Squad,46.94736842105264
623,Harold Ramis,170.0,100.0,11000.0,485.0,Oliver Platt,10000.0,43337279.0,Olivia Wilde,76770,12258,Xander Berkeley,203.0,English,USA,PG-13,60000000.0,1000.0,4.9,1.85,0,06/19/2009,Sony Pictures,Year One,39.25
624,Clint Eastwood,306.0,134.0,16000.0,204.0,Morgan Freeman,13000.0,37479778.0,Matt Damon,124222,24458,Leleti Khumalo,259.0,English,USA,PG-13,60000000.0,11000.0,7.4,2.35,23000,12/11/2009,Warner Bros. Pictures,Invictus,73.88235294117645
625,Tony Gilroy,211.0,125.0,209.0,896.0,Tom Wilkinson,8000.0,40559930.0,Julia Roberts,41727,10623,Denis O'Hare,184.0,English,USA,PG-13,60000000.0,1000.0,6.2,2.35,0,03/20/2009,Universal Pictures,Duplicity,71.44117647058823
626,Donald Petrie,49.0,94.0,80.0,230.0,Ray Walston,1000.0,36830057.0,Steven Anthony Lawrence,10883,2151,Michael Lerner,73.0,English,USA,PG,65000000.0,417.0,4.9,1.85,448,02/12/1999,Walt Disney Productions,My Favorite Martian,37.57142857142857
627,Clark Johnson,161.0,107.0,69.0,206.0,David Rasche,310.0,36279230.0,Blair Brown,42144,1352,Martin Donovan,213.0,English,USA,PG-13,60000000.0,219.0,6.1,2.35,690,04/21/2006,20th Century Fox,The Sentinel,53.90625
628,Jorge Blanco,156.0,91.0,2.0,480.0,Gary Oldman,12000.0,42194060.0,Dwayne Johnson,41259,22668,James Corden,72.0,English,Spain,PG,70000000.0,10000.0,6.1,2.35,0,11/20/2009,Sony Pictures/TriStar Pictures,Planet 51,44.714285714285715
629,Joel Coen,161.0,100.0,0.0,210.0,Paul Adelstein,436.0,35096190.0,Cedric the Entertainer,76560,1395,Julia Duffy,322.0,English,USA,PG-13,60000000.0,399.0,6.3,1.85,0,10/10/2003,Universal Pictures,Intolerable Cruelty,73.15
630,Martin Campbell,258.0,117.0,258.0,896.0,Ray Winstone,2000.0,43290977.0,Bojana Novakovic,75201,7053,Denis O'Hare,256.0,English,UK,R,80000000.0,1000.0,6.6,2.35,0,01/29/2010,Warner Bros. Pictures,Edge of Darkness,59.29411764705882
631,Peter Hyams,95.0,110.0,0.0,308.0,Penelope Ann Miller,510.0,33927476.0,John Kapelos,19176,1976,Chi Muoi Lo,165.0,English,UK,R,40000000.0,344.0,5.7,2.35,956,01/10/1997,Paramount,The Relic,55.57142857142857
632,Harold Ramis,105.0,96.0,11000.0,236.0,Cathy Moriarty,22000.0,32122249.0,Robert De Niro,69319,22889,Joe Viterelli,138.0,English,USA,R,60000000.0,394.0,5.9,1.85,846,12/06/2002,Warner Bros.,Analyze That,42.558823529411775
633,Jon Avnet,198.0,101.0,50.0,1000.0,Al Pacino,22000.0,40076438.0,Robert De Niro,73368,38809,50 Cent,248.0,English,USA,R,60000000.0,14000.0,6.0,2.35,0,09/10/2008,Overture Films,Righteous Kill,42.814814814814824
634,Harold Becker,79.0,111.0,17.0,652.0,Miko Hughes,13000.0,32940507.0,Bruce Willis,54314,16536,Carrie Preston,127.0,English,USA,R,60000000.0,968.0,6.1,2.35,0,04/03/1998,Universal Pictures,Mercury Rising,42.4
635,Joe Wright,210.0,117.0,456.0,569.0,Stephen Root,21000.0,31670931.0,Robert Downey Jr.,44099,23745,Rachael Harris,143.0,English,UK,PG-13,60000000.0,939.0,6.7,2.35,0,04/24/2009,Dreamworks/Paramount,The Soloist,64.51515151515152
